fish.Id,day,parasite.count,standard.length
C1,0,2,18.9
C1,1,2,18.9
C1,3,6,18.9
C1,5,14,18.9
C1,7,25,18.9
C1,9,33,18.9
C1,11,34,18.9
C1,13,45,18.9
C1,15,7,18.9
C1,17,2,18.9
C2,0,2,14.4
C2,1,2,14.4
C2,3,7,14.4
C2,5,24,14.4
C2,7,44,14.4
C2,9,162,14.4
C2,11,240,14.4
C2,13,590,14.4
C2,15,NA,14.4
C2,17,NA,14.4
C3,0,2,16.6
C3,1,2,16.6
C3,3,3,16.6
C3,5,13,16.6
C3,7,33,16.6
C3,9,78,16.6
C3,11,211,16.6
C3,13,403,16.6
C3,15,617,16.6
C3,17,NA,16.6
C4,0,2,17.5
C4,1,2,17.5
C4,3,4,17.5
C4,5,14,17.5
C4,7,21,17.5
C4,9,54,17.5
C4,11,86,17.5
C4,13,213,17.5
C4,15,489,17.5
C4,17,NA,17.5
C5,0,2,15.4
C5,1,2,15.4
C5,3,6,15.4
C5,5,12,15.4
C5,7,34,15.4
C5,9,94,15.4
C5,11,15,15.4
C5,13,265,15.4
C5,15,403,15.4
C5,17,NA,15.4
C6,0,2,15.4
C6,1,2,15.4
C6,3,3,15.4
C6,5,5,15.4
C6,7,1,15.4
C6,9,1,15.4
C6,11,0,15.4
C6,13,0,15.4
C6,15,0,15.4
C6,17,0,15.4
C7,0,2,16.8
C7,1,2,16.8
C7,3,2,16.8
C7,5,5,16.8
C7,7,12,16.8
C7,9,31,16.8
C7,11,54,16.8
C7,13,127,16.8
C7,15,360,16.8
C7,17,152,16.8
C8,0,2,17.4
C8,1,1,17.4
C8,3,0,17.4
C8,5,0,17.4
C8,7,0,17.4
C8,9,0,17.4
C8,11,0,17.4
C8,13,0,17.4
C8,15,0,17.4
C8,17,0,17.4
C9,0,2,16.1
C9,1,1,16.1
C9,3,3,16.1
C9,5,4,16.1
C9,7,9,16.1
C9,9,13,16.1
C9,11,36,16.1
C9,13,52,16.1
C9,15,72,16.1
C9,17,24,16.1
C10,0,2,17.1
C10,1,2,17.1
C10,3,4,17.1
C10,5,4,17.1
C10,7,12,17.1
C10,9,43,17.1
C10,11,98,17.1
C10,13,391,17.1
C10,15,732,17.1
C10,17,NA,17.1
C11,0,3,17
C11,1,2,17
C11,3,1,17
C11,5,3,17
C11,7,5,17
C11,9,2,17
C11,11,1,17
C11,13,1,17
C11,15,0,17
C11,17,0,17
C12,0,3,15.9
C12,1,4,15.9
C12,3,7,15.9
C12,5,23,15.9
C12,7,44,15.9
C12,9,91,15.9
C12,11,160,15.9
C12,13,301,15.9
C12,15,NA,15.9
C12,17,NA,15.9
C13,0,3,14.9
C13,1,3,14.9
C13,3,4,14.9
C13,5,4,14.9
C13,7,7,14.9
C13,9,4,14.9
C13,11,3,14.9
C13,13,11,14.9
C13,15,6,14.9
C13,17,3,14.9
C14,0,3,18.3
C14,1,6,18.3
C14,3,9,18.3
C14,5,28,18.3
C14,7,54,18.3
C14,9,124,18.3
C14,11,245,18.3
C14,13,521,18.3
C14,15,NA,18.3
C14,17,NA,18.3
C15,0,3,20.9
